"cohort","treatment","OR","2.5%","97.5%"
"1","MV_elig","1.16698912634048","0.931569395085037","1.46169006042326"
"1","RRT_elig","1.12888559077699","0.819640751967646","1.56279822652241"
"1","VP_elig","1.21496353090287","0.925127457591443","1.6023152347029"
"2","MV_elig","1.32898219446271","1.05751938230033","1.67005165611078"
"2","RRT_elig","1.20012727125885","0.878396337414999","1.64563552146581"
"2","VP_elig","1.18116032556087","0.913927739277117","1.53115377653529"
"3","MV_elig","1.30630837682342","1.03638038107638","1.64613153989288"
"3","RRT_elig","1.32988980449111","0.975286770558962","1.82014494194964"
"3","VP_elig","1.1580381232785","0.901418405053347","1.49121896591858"
"4","MV_elig","1.26863727271216","1.00250724126854","1.60457623916211"
"4","RRT_elig","1.21684957665527","0.892710370930694","1.66410383391602"
"4","VP_elig","1.19709611594465","0.936152883774431","1.53393565943714"
